bid_id,ad_id,user_id,bid_price,bid_date
1,90,34,204000000,2021-07-13
2,6,83,182000000,2013-06-27
3,14,60,376000000,2011-11-20
4,80,17,77000000,2015-08-26
5,128,16,161000000,2022-02-21
6,138,65,91000000,2021-08-10
7,142,82,186000000,2012-04-12
8,103,26,138000000,2013-07-31
9,57,20,213000000,2022-09-27
10,70,56,136000000,2017-10-14
11,10,3,282000000,2017-12-16
12,35,9,329000000,2022-03-10
13,113,51,308000000,2014-04-17
14,73,10,206000000,2012-11-07
15,104,79,349000000,2014-06-25
16,94,36,317000000,2011-10-06
17,116,15,317000000,2011-12-20
18,36,83,279000000,2020-12-29
19,116,21,132000000,2022-06-11
20,44,45,166000000,2021-07-16
21,137,10,331000000,2023-05-12
22,81,50,139000000,2022-11-24
23,106,76,298000000,2024-02-27
24,147,46,198000000,2023-07-27
25,23,91,275000000,2019-07-02
26,28,82,196000000,2024-03-29
27,6,74,139000000,2016-08-04
28,104,45,72000000,2020-10-08
29,39,43,267000000,2013-12-21
30,101,97,124000000,2015-09-21
31,48,41,123000000,2018-05-16
32,49,4,343000000,2022-01-28
33,79,80,389000000,2019-07-03
34,15,62,363000000,2022-01-08
35,132,34,187000000,2019-12-17
36,120,63,263000000,2020-05-28
37,115,55,382000000,2015-01-08
38,107,43,170000000,2022-04-02
39,128,22,234000000,2017-03-15
40,137,39,321000000,2015-08-30
41,95,10,216000000,2014-04-01
42,28,51,146000000,2016-03-21
43,3,27,317000000,2015-08-16
44,143,29,65000000,2018-08-31
45,129,90,83000000,2013-05-27
46,124,89,54000000,2018-01-08
47,9,23,171000000,2022-04-26
48,63,49,141000000,2013-07-02
49,79,73,306000000,2024-02-29
50,119,17,307000000,2023-01-09
51,17,41,155000000,2018-05-14
52,17,92,381000000,2019-08-13
53,137,52,175000000,2021-01-25
54,38,20,285000000,2016-03-23
55,113,4,277000000,2016-05-28
56,131,53,274000000,2015-05-23
57,62,72,350000000,2021-09-22
58,11,25,125000000,2015-10-26
59,115,81,274000000,2020-11-13
60,55,96,100000000,2015-10-16
61,68,27,338000000,2012-06-06
62,148,23,232000000,2014-06-24
63,67,97,73000000,2018-03-29
64,56,68,160000000,2016-12-16
65,150,77,186000000,2014-03-12
66,94,14,316000000,2021-01-18
67,5,55,345000000,2015-11-10
68,63,98,295000000,2017-10-15
69,108,23,262000000,2022-02-11
70,4,34,57000000,2016-10-17
71,111,45,369000000,2019-09-27
72,105,32,166000000,2023-09-07
73,9,88,313000000,2016-10-17
74,39,75,94000000,2014-02-12
75,148,78,387000000,2015-10-05
76,19,74,134000000,2012-12-25
77,133,11,364000000,2022-07-06
78,90,80,224000000,2017-02-24
79,33,57,66000000,2014-02-14
80,34,93,325000000,2017-11-12
81,10,80,314000000,2015-01-22
82,12,45,265000000,2014-02-14
83,97,96,316000000,2021-03-15
84,56,11,61000000,2020-03-13
85,8,86,114000000,2021-12-30
86,3,57,276000000,2015-08-28
87,104,75,356000000,2012-07-20
88,142,75,288000000,2011-06-09
89,82,49,167000000,2013-04-06
90,46,36,274000000,2018-08-21
91,8,60,71000000,2013-05-08
92,42,12,234000000,2022-08-23
93,150,22,124000000,2020-12-20
94,105,36,311000000,2017-09-14
95,145,54,373000000,2015-12-04
96,65,25,356000000,2015-02-10
97,97,54,358000000,2017-10-14
98,118,73,119000000,2020-07-24
99,93,20,250000000,2013-05-22
100,38,15,126000000,2014-04-08
101,30,24,249000000,2019-05-31
102,146,90,195000000,2017-09-22
103,105,84,395000000,2023-01-28
104,26,5,208000000,2022-07-14
105,7,96,308000000,2013-07-17
106,54,34,130000000,2014-09-18
107,39,25,57000000,2018-04-06
108,132,78,342000000,2016-10-21
109,32,97,282000000,2013-10-03
110,138,96,198000000,2024-03-03
111,3,66,202000000,2012-10-25
112,39,79,111000000,2012-01-26
113,32,72,366000000,2015-04-10
114,128,86,122000000,2019-05-15
115,89,60,371000000,2014-11-06
116,34,99,71000000,2021-01-21
117,115,74,199000000,2021-01-26
118,66,43,341000000,2016-04-01
119,62,29,310000000,2012-06-14
120,33,41,248000000,2023-09-02
121,144,80,361000000,2022-08-13
122,106,2,169000000,2015-10-19
123,80,48,204000000,2015-02-01
124,49,22,219000000,2018-10-02
125,55,4,250000000,2019-03-19
126,38,84,172000000,2022-05-14
127,57,23,346000000,2018-04-26
128,11,8,113000000,2011-11-02
129,100,8,182000000,2019-12-16
130,76,31,108000000,2011-05-11
131,47,64,125000000,2014-05-29
132,60,49,399000000,2011-09-17
133,64,42,233000000,2021-10-19
134,115,20,171000000,2016-10-18
135,68,73,146000000,2016-02-06
136,133,26,285000000,2021-11-14
137,71,96,186000000,2023-09-16
138,118,19,65000000,2022-03-06
139,51,13,122000000,2013-08-17
140,115,50,98000000,2018-01-02
141,73,51,190000000,2015-05-14
142,127,87,247000000,2013-10-04
143,135,41,105000000,2024-03-03
144,35,75,187000000,2015-10-09
145,68,85,279000000,2012-02-01
146,35,54,158000000,2024-01-07
147,65,18,310000000,2019-11-25
148,115,9,259000000,2017-03-19
149,81,34,306000000,2014-03-21
150,132,72,246000000,2023-09-01
151,145,18,284000000,2023-02-07
152,51,79,261000000,2017-08-18
153,34,12,298000000,2022-11-22
154,18,61,187000000,2011-09-09
155,106,2,123000000,2012-02-08
156,79,27,163000000,2020-11-28
157,82,53,58000000,2015-06-01
158,107,12,318000000,2015-04-10
159,149,33,217000000,2013-07-24
160,134,41,91000000,2014-08-01
161,90,14,153000000,2023-05-22
162,136,90,136000000,2022-02-03
163,104,37,279000000,2011-07-08
164,110,90,226000000,2012-09-18
165,98,57,230000000,2014-02-09
166,148,3,249000000,2019-11-04
167,32,76,205000000,2012-05-27
168,133,22,228000000,2013-08-18
169,38,73,114000000,2014-10-14
170,122,56,60000000,2023-06-25
171,60,14,246000000,2012-02-22
172,126,71,251000000,2019-07-30
173,122,97,363000000,2018-07-08
174,105,20,263000000,2022-07-25
175,140,44,366000000,2019-05-13
176,63,92,192000000,2015-08-31
177,121,66,324000000,2023-10-03
178,130,67,347000000,2023-11-20
179,71,55,222000000,2019-12-20
180,130,100,343000000,2020-11-29
181,16,5,315000000,2011-11-14
182,53,72,275000000,2024-02-20
183,8,47,243000000,2021-01-19
184,44,51,109000000,2017-09-23
185,55,80,272000000,2011-05-11
186,107,10,356000000,2019-05-24
187,12,25,88000000,2013-02-04
188,113,53,195000000,2017-04-03
189,49,37,249000000,2014-05-31
190,14,43,144000000,2014-10-28
191,82,15,140000000,2017-09-22
192,136,47,129000000,2024-05-04
193,123,95,281000000,2022-02-06
194,150,68,225000000,2017-11-14
195,92,25,62000000,2016-11-03
196,132,39,255000000,2011-11-14
197,30,29,358000000,2022-04-01
198,91,93,144000000,2015-08-27
199,28,16,108000000,2013-05-03
200,5,58,321000000,2017-08-21
201,117,37,121000000,2022-05-12
202,86,82,201000000,2021-09-21
203,12,81,289000000,2021-09-17
204,29,4,323000000,2013-01-10
205,74,7,293000000,2014-10-08
206,13,75,98000000,2017-08-22
207,11,89,86000000,2019-09-06
208,130,86,186000000,2019-10-18
209,72,77,377000000,2016-01-30
210,75,56,265000000,2011-07-05
211,108,32,362000000,2016-07-25
212,104,77,116000000,2020-10-21
213,53,99,293000000,2015-10-01
214,24,84,360000000,2014-02-27
215,98,46,68000000,2016-08-11
216,146,18,375000000,2019-06-05
217,141,79,394000000,2017-08-26
218,84,45,118000000,2013-06-18
219,15,71,278000000,2014-05-29
220,85,78,108000000,2015-06-07
221,52,4,245000000,2020-02-25
222,39,60,272000000,2011-10-21
223,52,86,343000000,2015-12-23
224,130,10,138000000,2018-08-21
225,38,94,341000000,2014-11-16
226,54,60,317000000,2012-12-23
227,33,67,110000000,2013-11-28
228,141,49,189000000,2020-08-04
229,10,10,142000000,2021-10-08
230,146,92,71000000,2019-10-22
231,144,100,90000000,2023-08-12
232,145,27,271000000,2012-02-16
233,118,13,115000000,2016-09-18
234,98,26,341000000,2018-12-08
235,124,18,229000000,2018-11-24
236,36,49,209000000,2015-08-03
237,45,58,253000000,2014-08-04
238,69,52,63000000,2023-01-09
239,3,50,168000000,2014-04-09
240,67,87,328000000,2020-01-09
241,136,53,155000000,2020-11-12
242,95,34,300000000,2021-12-13
243,99,27,86000000,2023-12-19
244,81,89,363000000,2016-12-03
245,15,100,340000000,2015-07-07
246,133,38,331000000,2018-11-28
247,143,27,281000000,2017-10-13
248,148,71,338000000,2022-06-11
249,126,75,388000000,2013-08-16
250,15,78,348000000,2015-05-17
251,91,93,383000000,2013-06-01
252,32,43,298000000,2018-12-05
253,118,81,124000000,2012-05-01
254,117,6,167000000,2019-05-17
255,72,4,57000000,2012-04-13
256,88,75,387000000,2019-11-13
257,106,57,395000000,2020-10-19
258,53,90,270000000,2019-02-28
259,145,6,124000000,2020-06-08
260,109,59,371000000,2013-02-01
261,24,62,368000000,2021-05-26
262,142,22,284000000,2017-12-23
263,74,84,265000000,2015-07-19
264,133,82,106000000,2019-08-23
265,102,55,262000000,2023-08-18
266,5,30,57000000,2024-02-03
267,21,93,383000000,2022-03-04
268,122,25,110000000,2012-07-15
269,48,41,193000000,2012-03-14
270,56,14,234000000,2015-11-19
271,91,63,213000000,2021-01-03
272,59,93,73000000,2016-03-24
273,3,20,94000000,2015-09-29
274,76,91,198000000,2022-03-16
275,75,50,256000000,2012-07-31
276,74,58,201000000,2011-08-21
277,48,61,337000000,2013-09-11
278,8,3,212000000,2021-10-27
279,79,77,320000000,2019-09-22
280,35,30,350000000,2017-05-08
281,77,79,114000000,2017-10-08
282,27,46,93000000,2023-12-30
283,78,99,118000000,2020-06-02
284,34,9,339000000,2021-11-04
285,76,18,290000000,2012-02-12
286,114,48,55000000,2015-10-26
287,103,22,319000000,2023-03-13
288,40,25,214000000,2020-05-12
289,145,88,323000000,2019-04-14
290,3,18,318000000,2015-01-06
291,82,93,169000000,2022-11-02
292,55,56,287000000,2022-12-04
293,40,85,356000000,2024-04-29
294,84,70,275000000,2015-02-20
295,37,57,178000000,2020-11-16
296,119,84,88000000,2018-12-16
297,52,57,313000000,2016-08-13
298,40,95,145000000,2019-01-20
299,7,94,201000000,2021-12-01
300,139,95,359000000,2013-08-19
